|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|T Lyr        |BD +36 3168; CCCS 2608             |LYR|18 32.3|+37 00| 7.8|3.67|R6    |Period Irr; 7.5-9.3m; Very red                              |
|XY Lyr       |SAO 67193                          |LYR|18 38.1|+39 41| 6  |1.65|M5    |Variable 5.8-6.4m                                           |
|HK Lyr       |BD +36 3243; CCCS 2651             |LYR|18 42.8|+36 58| 7.9|3.1 |N4    |Period Irr; 7.8-9.6m                                        |
|Delta2 Lyr   |SAO 67559                          |LYR|18 54.5|+36 54| 4.3|1.68|M4    |In Delta Lyr Cluster; 11mag comp* 86 arcsec                 |
|BD +32 3250  |SAO 67560                          |LYR|18 54.6|+33 06| 8.7|1.68|K5    |10 min ENE of M 57                                          |
|R Lyr        |SAO 47919                          |LYR|18 55.3|+43 57| 4  |1.59|M5    |Period 46 days; 3.9-5.0m                                    |
|KS Mon       |SAO 133110                         |MON|06 19.8|-05 18| 8.5|1.79|M     |Period Irr; 8.5-10m                                         |
|BN Mon       |CCCS 498                           |MON|06 22.0|+07 21| 9  |3.38|N     |                                                            |
|CZ Mon       |HD 48664; CCCS 573                 |MON|06 44.7|+03 19|10  |3.25|N5;C4 |                                                            |
|BD +0 1660   |SAO 114533                         |MON|06 51.8|+00 28| 8  |1.31|K1    |in center of CL NGC 2301; 9mag comp* 21 sec PA 9 deg        |
|GY Mon       |SAO 133825; CCCS 609; HD 50436     |MON|06 53.2|-04 35| 8.1|2.46|N;C6  |Period Irr; 9.4-10.6m; 30min west of CL NGC 2311            |
|BG Mon       |CCCS 621                           |MON|06 56.4|+07 05| 9.2|2.1 |N;C5  |Period 30 days; 9.2-10.4m                                   |
